id	ZONA	Neighborhood	Street	Start date and time	End date and time	Direction	Reference	Status
10684	Centro	Sé	AV. PACAEMBU	2009/02/07 18:37	2009/02/08 00:43	Ambos	RUA DR. Veiga Filho	Inativo Transitável
10685	Centro	Sé	AV. DO ESTADO	2009/02/07 19:13	2009/02/07 21:23	Ambos	AV. SANTOS DUMONT	Inativo Transitável
10686	Centro	Sé	AV. PRES. C	2009/02/07 20:30	2009/02/08 03:13		Rua Newton Prado	Inativo Transitável
10687	Zona Oeste	Butantã	Pr	2009/02/07 18:20	2009/02/07 21:29	C / B	AV. VITAL BRASIL	Inativo Transitável
10688	Zona Oeste	Butantã	AV. PROF. FRANCISCO MORATO	2009/02/07 18:48	2009/02/08 01:04		Rua Manoel Jacinto	Inativo Transitável
10689	Zona Oeste	Butantã	AV. DOS TAJURAS	2009/02/07 18:54	2009/02/08 01:04	B / C	AV. ENG. Oscar Americano	Inativo Transitável
10690	Zona Oeste	Butantã	AV. Chucri Z	2009/02/07 20:40	2009/02/08 03:17	Bandeirantes / MORUMBI	PONTE DO MORUMBI	Inativo Transitável
10691	Zona Oeste	Lapa	Ru	2009/02/07 17:50	2009/02/07 21:14	Ambos	RUA HUGO DANTOLA	Inativo Transitável
10692	Zona Oeste	Lapa	AV. Erm	2009/02/07 18:05	2009/02/08 02:33	LAPA / B.FUNDA	PRACA SEBASTIAO JAYME PINTO	Inativo Transitável
10693	Zona Oeste	Lapa	PÇA. APECATU	2009/02/07 18:27	2009/02/07 19:30	Ambos	Referência não informada no site	Inativo Transitável
10694	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/07 18:31	2009/02/07 19:04	Ambos	PÇA. LUIS CARLOS MESQUITA	Inativo Transitável
10695	Zona Oeste	Lapa	PÇA. PASCHOAL MARTINS	2009/02/07 18:34	2009/02/07 21:23	Ambos	AV. MARQUES DE SÃO VICENTE	Inativo Transitável
10696	Zona Oeste	Lapa	AV. MARQUES DE SAO VICENTE	2009/02/07 18:36	2009/02/07 20:38	B.FUNDA / Lapa	Rua José Gomes Falcão	Inativo Transitável
10697	Zona Oeste	Lapa	R. JOAO RAMALHO	2009/02/07 18:38	2009/02/08 03:11		R. Cardoso de Almeida	Inativo Transitável
10698	Zona Oeste	Lapa	AV. Fr	2009/02/07 18:39	2009/02/07 19:22	Ambos	RUA DA GERMAINE BURCHARD	Inativo Transitável
10699	Zona Oeste	Lapa	MARGINAL TIETE	2009/02/07 18:42	2009/02/07 20:25	Ambos	PTE. ATILIO FONTANA	Inativo Transitável
10700	Zona Oeste	Lapa	AV. OTAVIANO ALVES DE LIMA	2009/02/07 18:42	2009/02/07 20:25		PONTE ATILIO FONTANA	Inativo Transitável
10701	Zona Oeste	Lapa	Pr	2009/02/07 18:43	2009/02/07 20:00	Ambos	Rua Turiassu	Inativo Transitável
10702	Zona Oeste	Lapa	AV. Emb	2009/02/07 18:45	2009/02/07 19:47	as/cb	PONTE ATILIO FONTANA	Inativo Transitável
10703	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/07 18:52	2009/02/07 19:00	Ambos	PÇA. LUIS CARLOS MESQUITA	Inativo Transitável
10704	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/07 18:52	2009/02/07 20:39	Ambos	PÇA. LUIS CARLOS MESQUITA	Inativo Transitável
10705	Zona Oeste	Lapa	VD. ANTARTICA	2009/02/07 19:02	2009/02/08 03:11		Referência não informada no site	Inativo Transitável
10706	Zona Oeste	Lapa	AV. POMPEIA	2009/02/07 19:09	2009/02/07 21:14	Ambos	AV. Francisco Matarazzo	Inativo Transitável
10707	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/07 19:39	2009/02/07 20:39	B.FUNDA / Lapa	AV. NICOLAS BOER	Inativo Transitável
10708	Zona Oeste	Pinheiros	AV. PROF. ABRAÃO DE MORAES	2009/02/07 17:17	2009/02/07 20:05	Ambos	Rua Ribeiro Lacerda	Inativo Intransitável
10709	Zona Oeste	Pinheiros	PÇA. PANAMERICANA	2009/02/07 18:27	2009/02/07 19:22	Ambos	Referência não informada no site	Inativo Transitável
10710	Zona Oeste	Pinheiros	MARGINAL PINHEIROS	2009/02/07 18:45	2009/02/07 20:30	INT / CAST	SOB PTE. Roberto Rossi Zuccolo	Inativo Transitável
10711	Zona Oeste	Pinheiros	TUN. M	2009/02/07 18:46	2009/02/07 19:27		Referência não informada no site	Inativo Transitável
10712	Zona Oeste	Pinheiros	AV. PROF. ABRAÃO DE MORAES	2009/02/07 19:15	2009/02/07 20:05	Ambos	AV. Fagundes Filho	Inativo Intransitável
10713	Zona Oeste	Pinheiros	AV. Chucri Z	2009/02/07 19:31	2009/02/07 22:35		LARGO LOS ANDES	Inativo Transitável
10714	Zona Oeste	Pinheiros	AV. ABRAAO DE MORAES	2009/02/07 20:07	2009/02/08 01:02		Rua Elisa Silveira	Inativo Transitável
10715	Zona Oeste	Pinheiros	RUA CHAFIK MALUF	2009/02/07 20:12	2009/02/08 12:17	AMBOS	RUA DR. JOSÉ AUREO BUSTAMANTE	Inativo Intransitável
10716	Zona Leste	Mooca	VD. GLICERIO	2009/02/07 18:53	2009/02/08 01:02	PENHA / LAPA	Referência não informada no site	Inativo Transitável
10717	Zona Leste	Mooca	AV. DO ESTADO	2009/02/07 19:02	2009/02/07 21:23	IPIR / SANT	PASSAGEM FEPASA	Inativo Transitável
10718	Zona Sul	Campo Limpo	AV. M	2009/02/07 19:18	2009/02/07 21:28	C / B	PÇA ALCEU A. LIMA	Inativo Transitável
10719	Zona Sul	Campo Limpo	AV. JOÃO DIAS	2009/02/07 19:19	2009/02/08 01:04	B / C	VD. JOÃO DIAS	Inativo Transitável
10720	Zona Sul	Capela do Socorro	AV. INTERLAGOS	2009/02/07 20:06	2009/02/07 21:24		R. ENG. DAGOBERTO SALLES FILHO	Inativo Transitável
10721	Zona Sul	Santo Amaro	AV. SANTO AMARO	2009/02/07 18:36	2009/02/07 22:35	C / B	AV. ROQUE PETRONI JR.	Inativo Transitável
10722	Zona Sul	Santo Amaro	AV. DAS NAÇÕES UNIDAS	2009/02/07 18:45	2009/02/07 19:56	/ CAST	INT	Inativo Transitável
10723	Zona Sul	Santo Amaro	AV. ASSIS CHATEAUBRIAND	2009/02/07 18:49	2009/02/07 19:34	Barra Funda / Lapa	PT. DAS BANDEIRAS	Inativo Transitável
10724	Zona Sul	Santo Amaro	AV. VITOR MANZINI	2009/02/07 19:03	2009/02/07 19:45	ATÉ AV. ENG. Eusébio Stevaux	R. CRISTALINO ROLIM DE FREITAS	Inativo Transitável
10725	Zona Sul	Santo Amaro	M	2009/02/07 19:23	2009/02/07 21:28	INT / CAST	300M APÓS PTE. JOÃO DIAS	Inativo Transitável
10726	Zona Sul	Santo Amaro	M	2009/02/07 19:25	2009/02/07 21:28	INT / CAST	ALT. N º 17955	Inativo Transitável
10727	Zona Sul	Santo Amaro	AV. ROQUE PETRONI JUNIOR	2009/02/07 19:28	2009/02/07 22:35		Referência não informada no site	Inativo Transitável
10728	Zona Sul	Santo Amaro	AV. Cupecê	2009/02/07 19:35	2009/02/08 03:17		Referência não informada no site	Inativo Transitável
10729	Zona Sul	Santo Amaro	ACESSO AV. PROF. Vivente RAO	2009/02/07 21:53	2009/02/08 01:00		Whashington Luis	Inativo Transitável
10730	Zona Sudeste	Vila Mariana	AV. VINTE E TRÊS DE MAIO	2009/02/07 18:24	2009/02/07 19:15	Sant / AER	Referência não informada no site	Inativo Transitável
10731	Zona Sudeste	Vila Mariana	AV. VINTE E TRÊS DE MAIO	2009/02/07 18:50	2009/02/07 19:11	Sant / AER	VD. GEN. EUCLIDES DE FIGUEIREDO	Inativo Transitável
10732	Zona Sudeste	Vila Mariana	AV. Ibir	2009/02/07 19:54	2009/02/07 19:55	ATÉ R. PAVÃO	AV. IRAI	Inativo Transitável
10733	Zona Sul	M'Boi Mirim	AV. M	2009/02/05 15:25	2009/02/05 16:05	C / B	VD. FREDERICO EDUARDO MAYR	Inativo Transitável
10734	Centro	Sé	TN. ANHANGABAU	2009/02/04 15:38	2009/02/04 17:09	ST / AER	VD. EUSÉBIO Stevaux	Inativo Transitável
10735	Zona Oeste	Butantã	AV. PROF. FRANCISCO MORATO	2009/02/04 14:52	2009/02/04 16:09	B / C	RUA FRANCISCO MARSON	Inativo Transitável
10736	Zona Oeste	Butantã	MARGINAL PINHEIROS	2009/02/04 15:57	2009/02/04 18:12	CB / INT - LOCAL	RUA BENTO FRIAS	Inativo Transitável
10737	Zona Oeste	Butantã	AV. AFRÂNIO PEIXOTO	2009/02/04 16:09	2009/02/04 18:06	Ambos	Rua Alvarenga	Inativo Transitável
10738	Zona Oeste	Lapa	MARGINAL PINHEIROS	2009/02/04 06:18	2009/02/04 09:41	CB / INT - ÚNICA	PTE. JAGUARÉ - 500M APÓS	Inativo Transitável
10739	Zona Leste	Mooca	AV. R	2009/02/04 15:48	2009/02/04 18:14	Ambos	VD. D. MATILDE	Inativo Transitável
10740	Zona Leste	Mooca	AV. ALCÂNTARA M	2009/02/04 17:53	2009/02/04 22:25	C / B	ALTURA DO N. 60	Inativo Transitável
10741	Zona Sul	M'Boi Mirim	AV. JOÃO DIAS	2009/02/04 21:05	2009/02/05 07:00	B / C	PTE. JOÃO DIAS	Inativo Transitável
10742	Zona Sul	M'Boi Mirim	AV. M	2009/02/04 22:13	2009/02/05 07:00	C / B	Pça. ALCEU AMOROSO LIMA	Inativo Transitável
10743	Zona Sul	Santo Amaro	VD. REPÚBLICA DA ARMÊNIA	2009/02/04 15:47	2009/02/04 17:50	ÚNICO	Rua Funchal - 300M ANTES	Inativo Transitável
10744	Zona Norte	Casa Verde	MARGINAL TIETÊ	2009/02/02 20:22	2009/02/03 05:12	AS / CB	PTE. DA FREGUESIA DO O	Inativo Transitável
10745	Zona Norte	Freguesia do Ó	AV. ANTONIO MUNHOZ BONILHA	2009/02/02 21:17	2009/02/02 21:47	Ambos	AV. Nossa Senhora do Ó	Inativo Transitável
10746	Zona Norte	Jaçanã/ Tremembé	Ru	2009/02/02 20:43	2009/02/02 22:55	Ambos	ALT. No. 424	Inativo Transitável
10747	Zona Oeste	Lapa	PÇA. PASCHOAL MARTINS	2009/02/02 20:37	2009/02/03 05:12	LAPA / PENHA	AV. MARQUI DE SÃO VICENTE	Inativo Transitável
